"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"14","BEAUFORT","BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",11916,0.047,0.137,0.459,0.35,0.007,555,1632,5474,4167,88,11916,0.006,0.759,0.235,75,9043,2798,11916,0.001,0.229,0.001,0.006,0.002,0.028,0.733,NA,14,2724,17,73,29,328,8731,NA,330,0.028,NA,NA,"2016-11"
"15","BEAUFORT","BELHAVEN - JOHN A WILKINSON CENTER","11/08/2016",891,0.046,0.126,0.437,0.38,0.011,41,112,389,339,10,891,0.006,0.786,0.209,5,700,186,891,NA,0.285,0.001,0.002,0.001,0.026,0.685,NA,NA,254,1,2,1,23,610,NA,22,0.025,NA,NA,"2016-11"
"16","BEAUFORT","CHOCOWINITY FIRE DEPARTMENT","11/08/2016",1051,0.062,0.147,0.445,0.341,0.006,65,154,468,358,6,1051,0.005,0.775,0.22,5,815,231,1051,0.002,0.128,NA,0.007,0.002,0.045,0.816,NA,2,135,NA,7,2,47,858,NA,34,0.032,NA,NA,"2016-11"
"17","BERTIE","BERTIE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",3937,0.047,0.126,0.508,0.313,0.005,187,498,2001,1231,20,3937,0.001,0.811,0.188,3,3192,742,3937,0.003,0.585,0.001,0.001,0.002,0.023,0.386,NA,10,2304,5,3,6,91,1518,NA,107,0.027,NA,NA,"2016-11"
"18","BERTIE","POWELLSVILLE TOWN HALL","11/08/2016",1424,0.055,0.131,0.485,0.322,0.007,79,186,691,458,10,1424,0.001,0.769,0.23,2,1095,327,1424,0.001,0.591,0.001,0.001,0.001,0.035,0.369,NA,1,842,2,1,2,50,526,NA,37,0.026,NA,NA,"2016-11"
"19","BLADEN","BLADEN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",2,NA,0.5,NA,0.5,NA,NA,1,NA,1,NA,2,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"2016-11"
"20","BLADEN","BLADEN COUNTY PUBLIC LIBRARY","11/08/2016",5331,0.063,0.17,0.484,0.278,0.006,338,904,2578,1480,31,5331,0.008,0.808,0.183,44,4310,977,5331,0.001,0.418,0.007,0.008,0.002,0.011,0.553,NA,4,2227,36,45,11,61,2947,NA,224,0.042,NA,NA,"2016-11"
"21","BLADEN","BLADENBORO","11/08/2016",1769,0.058,0.138,0.486,0.308,0.01,102,245,860,545,17,1769,0.003,0.859,0.138,5,1519,245,1769,NA,0.157,0.01,0.003,0.003,0.003,0.825,NA,NA,277,17,6,5,5,1459,NA,68,0.038,NA,NA,"2016-11"
"22","BLADEN","DUBLIN","11/08/2016",1933,0.069,0.158,0.48,0.282,0.011,133,305,928,546,21,1933,0.009,0.806,0.185,18,1558,357,1933,NA,0.233,0.01,0.008,0.002,0.015,0.732,NA,NA,450,20,16,3,29,1415,NA,61,0.032,NA,NA,"2016-11"
"23","BLADEN","EAST ARCADIA","11/08/2016",577,0.073,0.159,0.473,0.288,0.007,42,92,273,166,4,577,0.003,0.806,0.191,2,465,110,577,NA,0.853,0.045,0.007,NA,0.007,0.088,NA,NA,492,26,4,NA,4,51,NA,34,0.059,NA,NA,"2016-11"
"24","BRUNSWICK","BRUNSWICK COMMUNITY COLLEGE","11/08/2016",1058,0.101,0.147,0.464,0.249,0.039,107,156,491,263,41,1058,0.011,0.69,0.299,12,730,316,1058,0.004,0.14,0.003,0.005,0.003,0.058,0.788,NA,4,148,3,5,3,61,834,NA,46,0.043,NA,NA,"2016-11"
"25","BRUNSWICK","COOPERATIVE EXTENSION","11/08/2016",2973,0.031,0.134,0.485,0.346,0.004,93,398,1441,1028,13,2973,0.004,0.716,0.28,11,2129,833,2973,0.002,0.187,0.003,0.006,0.003,0.036,0.764,NA,5,556,9,19,8,106,2270,NA,73,0.025,NA,NA,"2016-11"
"26","BRUNSWICK","HOLDEN BEACH EOC BUILDING","11/08/2016",1810,0.03,0.074,0.449,0.444,0.003,55,134,813,803,5,1810,0.004,0.672,0.324,8,1216,586,1810,0.001,0.017,0.004,0.003,0.001,0.043,0.93,NA,2,31,8,6,1,78,1684,NA,74,0.041,NA,NA,"2016-11"
"27","BRUNSWICK","LELAND CULTURAL ARTS CENTER","11/08/2016",5083,0.025,0.154,0.445,0.374,0.002,128,784,2262,1899,10,5083,0.007,0.69,0.303,35,3507,1541,5083,0.003,0.055,0.001,0.009,0.003,0.037,0.891,NA,17,281,7,45,16,189,4528,NA,125,0.025,NA,NA,"2016-11"
"28","BRUNSWICK","LELAND TOWN HALL","11/08/2016",8424,0.037,0.169,0.454,0.336,0.004,312,1426,3821,2829,36,8424,0.013,0.7,0.287,110,5895,2419,8424,0.003,0.201,0.003,0.011,0.003,0.032,0.746,NA,28,1693,26,92,28,271,6286,NA,317,0.038,NA,NA,"2016-11"
"29","BRUNSWICK","NATIONAL GUARD ARMORY","11/08/2016",12020,0.029,0.085,0.418,0.464,0.003,351,1027,5022,5579,41,12020,0.005,0.687,0.307,64,8260,3696,12020,0.001,0.077,0.002,0.005,0.001,0.032,0.881,NA,15,930,26,61,18,379,10591,NA,286,0.024,NA,NA,"2016-11"
"30","BRUNSWICK","OAK ISLAND RECREATION CENTER","11/08/2016",2633,0.023,0.068,0.498,0.409,0.002,60,180,1310,1077,6,2633,0.004,0.703,0.294,10,1850,773,2633,0.003,0.004,0.001,0.006,0.002,0.036,0.948,NA,7,10,3,17,4,96,2496,NA,114,0.043,NA,NA,"2016-11"
"31","BRUNSWICK","SOUTH BRUNSWICK ISLANDS CENTER - BCC","11/08/2016",5505,0.013,0.044,0.343,0.598,0.002,69,240,1890,3294,12,5505,0.003,0.701,0.296,18,3858,1629,5505,0.001,0.042,0.001,0.005,0.001,0.02,0.929,NA,8,230,8,29,8,108,5114,NA,72,0.013,NA,NA,"2016-11"
"32","BRUNSWICK","ST JAMES COMMUNITY CENTER","11/08/2016",2905,0.006,0.025,0.341,0.627,0,18,72,992,1822,1,2905,0.002,0.735,0.263,5,2135,765,2905,0.002,0.007,0,0.003,NA,0.011,0.977,NA,7,19,1,8,NA,33,2837,NA,25,0.009,NA,NA,"2016-11"
"33","BRUNSWICK","THE BRUNSWICK CENTER AT SOUTHPORT","11/08/2016",7321,0.02,0.075,0.407,0.494,0.004,145,549,2982,3619,26,7321,0.005,0.735,0.26,35,5380,1906,7321,0.003,0.045,0.003,0.006,0.002,0.021,0.921,NA,19,331,20,43,14,154,6740,NA,130,0.018,NA,NA,"2016-11"
"34","BUNCOMBE","AB TECH (MISSION HEALTH/CONFERENCE CTR)","11/08/2016",959,0.257,0.306,0.322,0.046,0.07,246,293,309,44,67,959,0.036,0.619,0.344,35,594,330,959,0.005,0.069,0.002,0.024,0.018,0.073,0.809,NA,5,66,2,23,17,70,776,NA,49,0.051,NA,NA,"2016-11"
"35","BUNCOMBE","ASHEVILLE MALL","11/08/2016",6986,0.078,0.274,0.395,0.246,0.006,545,1917,2760,1722,42,6986,0.02,0.703,0.276,143,4912,1931,6986,0.007,0.076,0.003,0.021,0.007,0.041,0.845,NA,49,534,19,144,51,287,5902,NA,250,0.036,NA,NA,"2016-11"
"36","BUNCOMBE","AVERY'S CREEK COMMUNITY CENTER","11/08/2016",2890,0.047,0.211,0.495,0.242,0.005,137,609,1431,698,15,2890,0.013,0.772,0.215,39,2230,621,2890,0.006,0.028,0.002,0.015,0.003,0.035,0.909,NA,18,82,7,44,9,102,2628,NA,98,0.034,NA,NA,"2016-11"
"37","BUNCOMBE","BEE TREE FIRE DEPARTMENT","11/08/2016",4405,0.085,0.155,0.447,0.293,0.02,375,681,1970,1290,89,4405,0.016,0.758,0.227,69,3338,998,4405,0.002,0.019,0.001,0.015,0.006,0.048,0.908,NA,10,82,6,66,28,213,4000,NA,147,0.033,NA,NA,"2016-11"
"38","BUNCOMBE","BLACK MOUNTAIN BRANCH LIBRARY","11/08/2016",6349,0.037,0.159,0.453,0.346,0.004,238,1012,2877,2194,28,6349,0.006,0.779,0.216,37,4943,1369,6349,0.004,0.031,0.002,0.011,0.003,0.029,0.92,NA,26,195,10,72,20,186,5840,NA,128,0.02,NA,NA,"2016-11"
"39","BUNCOMBE","DR. WESLEY GRANT SR - SOUTHSIDE CTR.","11/08/2016",2696,0.063,0.256,0.466,0.21,0.005,170,689,1256,567,14,2696,0.012,0.696,0.292,32,1877,787,2696,0.003,0.451,0.001,0.018,0.007,0.032,0.488,NA,7,1215,3,48,20,87,1316,NA,82,0.03,NA,NA,"2016-11"
"40","BUNCOMBE","ENKA/CANDLER BRANCH LIBRARY","11/08/2016",8376,0.046,0.188,0.478,0.281,0.007,388,1575,4004,2352,57,8376,0.012,0.743,0.245,101,6223,2052,8376,0.004,0.011,0.002,0.016,0.002,0.035,0.931,NA,37,88,13,134,14,296,7794,NA,245,0.029,NA,NA,"2016-11"
"41","BUNCOMBE","FAIRVIEW BRANCH LIBRARY","11/08/2016",6260,0.038,0.145,0.514,0.295,0.008,238,906,3220,1848,48,6260,0.008,0.774,0.218,51,4845,1364,6260,0.002,0.008,0.002,0.013,0.003,0.034,0.938,NA,12,53,10,81,21,211,5872,NA,127,0.02,NA,NA,"2016-11"
"42","BUNCOMBE","LEICESTER BRANCH LIBRARY","11/08/2016",5773,0.06,0.155,0.492,0.285,0.008,345,892,2842,1648,46,5773,0.011,0.763,0.226,65,4406,1302,5773,0.001,0.006,0.002,0.01,0.003,0.024,0.955,NA,6,35,9,58,17,136,5512,NA,175,0.03,NA,NA,"2016-11"
"43","BUNCOMBE","MURPHY-OAKLEY RECREATION CTR","11/08/2016",2336,0.051,0.29,0.452,0.199,0.007,119,678,1057,466,16,2336,0.019,0.699,0.282,44,1634,658,2336,0.003,0.101,0.002,0.021,0.006,0.057,0.81,NA,7,237,5,48,14,133,1892,NA,80,0.034,NA,NA,"2016-11"
"44","BUNCOMBE","NEW HOPE PRESBYTERIAN CHURCH","11/08/2016",5782,0.045,0.186,0.428,0.336,0.004,262,1076,2475,1944,25,5782,0.011,0.753,0.236,65,4354,1363,5782,0.004,0.049,0.002,0.014,0.003,0.035,0.895,NA,22,283,9,80,15,201,5172,NA,157,0.027,NA,NA,"2016-11"
"45","BUNCOMBE","NORTH ASHEVILLE BRANCH LIBRARY","11/08/2016",8093,0.035,0.188,0.466,0.306,0.006,281,1519,3770,2476,47,8093,0.01,0.732,0.258,82,5926,2085,8093,0.005,0.016,0.001,0.014,0.004,0.033,0.925,NA,41,131,12,117,36,269,7487,NA,135,0.017,NA,NA,"2016-11"
"46","BUNCOMBE","PACK MEMORIAL LIBRARY","11/08/2016",3036,0.069,0.34,0.42,0.167,0.005,209,1031,1275,507,14,3036,0.019,0.688,0.293,58,2089,889,3036,0.007,0.069,0.002,0.021,0.009,0.052,0.84,NA,22,209,7,64,26,158,2550,NA,106,0.035,NA,NA,"2016-11"
"47","BUNCOMBE","POLE CREEK BAPTIST CHURCH","11/08/2016",2020,0.052,0.145,0.503,0.296,0.004,105,292,1017,598,8,2020,0.008,0.816,0.175,17,1649,354,2020,0,0.004,0.001,0.01,0.001,0.031,0.951,NA,1,9,2,20,3,63,1922,NA,61,0.03,NA,NA,"2016-11"
"48","BUNCOMBE","SOUTH BUNCOMBE BRANCH LIBRARY","11/08/2016",8018,0.05,0.185,0.474,0.284,0.007,403,1480,3800,2280,55,8018,0.014,0.757,0.229,112,6071,1835,8018,0.011,0.071,0.002,0.02,0.004,0.034,0.857,NA,86,571,16,164,34,273,6874,NA,175,0.022,NA,NA,"2016-11"
"49","BUNCOMBE","THE MONTFORD BUILDING","11/08/2016",3027,0.064,0.338,0.451,0.143,0.004,195,1023,1364,433,12,3027,0.013,0.68,0.308,38,2057,932,3027,0.004,0.132,0.002,0.014,0.008,0.05,0.79,NA,11,400,7,42,25,151,2391,NA,87,0.029,NA,NA,"2016-11"
"50","BUNCOMBE","UNIVERSITY OF NORTH CAROLINA ASHEVILLE","11/08/2016",3593,0.357,0.219,0.266,0.099,0.059,1282,787,957,355,212,3593,0.03,0.66,0.311,106,2370,1117,3593,0.013,0.043,0.003,0.023,0.02,0.073,0.826,NA,45,156,10,83,71,261,2967,NA,266,0.074,NA,NA,"2016-11"
"51","BUNCOMBE","WEAVERVILLE TOWN HALL","11/08/2016",9176,0.04,0.154,0.467,0.333,0.006,364,1412,4286,3056,58,9176,0.006,0.734,0.26,57,6736,2383,9176,0.002,0.007,0.002,0.01,0.002,0.023,0.955,NA,15,62,15,93,16,211,8764,NA,208,0.023,NA,NA,"2016-11"
"52","BUNCOMBE","WEST ASHEVILLE BRANCH LIBRARY","11/08/2016",9767,0.06,0.336,0.415,0.185,0.003,588,3281,4057,1810,31,9767,0.023,0.691,0.286,229,6745,2793,9767,0.005,0.06,0.001,0.022,0.007,0.053,0.852,NA,51,582,12,216,70,515,8321,NA,243,0.025,NA,NA,"2016-11"
"53","BUNCOMBE","WOODFIN COMMUNITY CENTER","11/08/2016",1412,0.04,0.244,0.496,0.212,0.008,56,345,700,299,12,1412,0.007,0.715,0.278,10,1010,392,1412,0.004,0.011,NA,0.011,0.006,0.047,0.921,NA,6,15,NA,16,8,66,1301,NA,46,0.033,NA,NA,"2016-11"
"54","BURKE","BURKE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",7468,0.069,0.16,0.497,0.263,0.011,516,1195,3713,1963,81,7468,0.013,0.901,0.086,99,6730,639,7468,0.006,0.046,0.001,0.012,0.002,0.01,0.924,NA,42,341,8,89,13,73,6902,NA,244,0.033,NA,NA,"2016-11"
"55","BURKE","GLEN ALPINE TOWN HALL","11/08/2016",2351,0.048,0.146,0.491,0.306,0.008,114,344,1155,720,18,2351,0.007,0.877,0.115,17,2063,271,2351,0.009,0.089,0.001,0.009,0.001,0.028,0.862,NA,22,210,3,20,2,67,2027,NA,79,0.034,NA,NA,"2016-11"
"56","BURKE","HILDEBRAN METHODIST CHURCH","11/08/2016",4143,0.058,0.151,0.505,0.277,0.009,240,627,2091,1149,36,4143,0.006,0.868,0.126,24,3598,521,4143,0.007,0.008,0.002,0.005,0.002,0.008,0.968,NA,31,33,8,19,8,34,4010,NA,143,0.035,NA,NA,"2016-11"
"57","BURKE","RUTHERFORD COLLEGE TOWN HALL","11/08/2016",4288,0.045,0.133,0.498,0.316,0.008,195,569,2136,1353,35,4288,0.003,0.904,0.093,12,3878,398,4288,0.007,0.021,0,0.005,0,0.005,0.96,NA,32,91,1,23,2,22,4117,NA,105,0.024,NA,NA,"2016-11"
"58","BURKE","SENIOR CENTER","11/08/2016",7911,0.048,0.122,0.463,0.362,0.006,381,964,3660,2860,46,7911,0.012,0.9,0.089,94,7116,701,7911,0.004,0.125,0.001,0.014,0.003,0.009,0.844,NA,35,987,8,113,24,71,6673,NA,165,0.021,NA,NA,"2016-11"
"59","CABARRUS","CABARRUS BANK BUILDING","11/08/2016",7582,0.061,0.192,0.501,0.239,0.007,465,1454,3796,1811,56,7582,0.023,0.771,0.207,173,5842,1567,7582,0.005,0.205,0.001,0.013,0.004,0.029,0.743,NA,41,1553,7,98,30,223,5630,NA,271,0.036,NA,NA,"2016-11"
"60","CABARRUS","CABARRUS COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",20372,0.056,0.164,0.487,0.286,0.008,1139,3335,9913,5825,160,20372,0.025,0.77,0.204,515,15691,4166,20372,0.007,0.223,0.001,0.018,0.005,0.029,0.716,NA,143,4552,28,375,92,586,14596,NA,678,0.033,NA,NA,"2016-11"
"61","CABARRUS","CONCORD FIRE STATION #9","11/08/2016",10942,0.057,0.26,0.562,0.113,0.008,625,2850,6144,1231,92,10942,0.027,0.745,0.229,290,8149,2503,10942,0.026,0.152,0.003,0.021,0.006,0.039,0.754,NA,284,1659,29,227,63,425,8255,NA,380,0.035,NA,NA,"2016-11"
"62","CABARRUS","HARRISBURG LIBRARY","11/08/2016",9150,0.066,0.198,0.567,0.157,0.012,603,1813,5189,1438,107,9150,0.025,0.744,0.231,228,6806,2116,9150,0.021,0.195,0.002,0.023,0.004,0.038,0.717,NA,194,1786,16,206,40,348,6560,NA,296,0.032,NA,NA,"2016-11"
"63","CALDWELL","CITY/COUNTY","11/08/2016",14601,0.051,0.138,0.492,0.31,0.009,747,2008,7183,4533,130,14601,0.008,0.882,0.11,121,12876,1604,14601,0.002,0.08,0.001,0.007,0.003,0.01,0.897,NA,29,1174,10,105,41,143,13099,NA,520,0.036,NA,NA,"2016-11"
"64","CALDWELL","SHUFORD RECREATION CENTER","11/08/2016",10081,0.06,0.161,0.505,0.263,0.01,608,1625,5091,2656,101,10081,0.008,0.867,0.125,82,8738,1261,10081,0.002,0.008,0.001,0.007,0.002,0.01,0.971,NA,19,78,12,70,17,101,9784,NA,306,0.03,NA,NA,"2016-11"
"65","CAMDEN","CAMDEN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",2565,0.047,0.146,0.522,0.274,0.011,121,375,1339,702,28,2565,0.003,0.579,0.418,8,1486,1071,2565,0.005,0.166,0.003,0.008,0.002,0.014,0.802,NA,14,426,7,21,4,35,2058,NA,76,0.03,NA,NA,"2016-11"
"66","CAMDEN","LOBBY","11/08/2016",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2016-11"
"67","CAMDEN","SHERIFF'S SATELLITE OFFICE","11/08/2016",278,0.036,0.194,0.532,0.234,0.004,10,54,148,65,1,278,NA,0.536,0.464,NA,149,129,278,0.004,0.144,NA,0.011,0.007,0.004,0.831,NA,1,40,NA,3,2,1,231,NA,5,0.018,NA,NA,"2016-11"
"68","CARTERET","CARTERET COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",6538,0.035,0.123,0.475,0.36,0.006,232,806,3106,2356,38,6538,0.004,0.829,0.168,23,5418,1097,6538,0.002,0.076,0.002,0.005,0.002,0.027,0.885,NA,16,498,13,33,15,179,5784,NA,182,0.028,NA,NA,"2016-11"
"69","CARTERET","DAVIS VOLUNTEER FIRE DEPARTMENT","11/08/2016",572,0.047,0.14,0.47,0.337,0.005,27,80,269,193,3,572,0.002,0.899,0.1,1,514,57,572,0.005,0.005,NA,NA,NA,0.021,0.969,NA,3,3,NA,NA,NA,12,554,NA,21,0.037,NA,NA,"2016-11"
"70","CARTERET","FORT BENJAMIN PARK RECREATION CENTER","11/08/2016",6833,0.049,0.137,0.495,0.311,0.008,336,935,3383,2123,56,6833,0.007,0.834,0.159,48,5697,1088,6833,0.004,0.04,0.002,0.008,0.003,0.015,0.929,NA,25,273,11,57,21,101,6345,NA,188,0.028,NA,NA,"2016-11"
"71","CARTERET","MOREHEAD PARKS AND RECREATION","11/08/2016",5160,0.04,0.159,0.473,0.322,0.005,208,819,2443,1662,28,5160,0.006,0.831,0.162,32,4290,838,5160,0.004,0.064,0.001,0.006,0.002,0.025,0.898,NA,20,332,3,33,9,129,4634,NA,163,0.032,NA,NA,"2016-11"
"72","CARTERET","WESTERN PARK COMMUNITY CENTER","11/08/2016",5870,0.034,0.1,0.479,0.38,0.008,197,586,2810,2229,48,5870,0.008,0.776,0.217,45,4554,1271,5870,0.004,0.012,0.001,0.005,0.002,0.029,0.947,NA,22,72,4,31,10,170,5561,NA,229,0.039,NA,NA,"2016-11"
"73","CASWELL","CASWELL COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",5374,0.055,0.125,0.493,0.32,0.007,296,670,2647,1721,40,5374,0.006,0.799,0.195,33,4292,1049,5374,0.002,0.438,0.001,0.007,0.003,0.02,0.528,NA,11,2355,8,36,16,110,2838,NA,172,0.032,NA,NA,"2016-11"
"74","CASWELL","CHERRY GROVE RURITAN CLUB","11/08/2016",606,0.092,0.177,0.508,0.213,0.01,56,107,308,129,6,606,0.012,0.764,0.224,7,463,136,606,NA,0.221,0.003,0.012,NA,0.063,0.701,NA,NA,134,2,7,NA,38,425,NA,41,0.068,NA,NA,"2016-11"
"75","CASWELL","LEASBURG FIRE DEPARTMENT","11/08/2016",264,0.057,0.167,0.564,0.205,0.008,15,44,149,54,2,264,0.004,0.807,0.189,1,213,50,264,0.004,0.25,NA,0.011,NA,0.027,0.708,NA,1,66,NA,3,NA,7,187,NA,6,0.023,NA,NA,"2016-11"
"76","CASWELL","PELHAM FIRE DEPARTMENT","11/08/2016",440,0.036,0.152,0.516,0.284,0.011,16,67,227,125,5,440,0.005,0.836,0.159,2,368,70,440,NA,0.3,NA,0.005,0.002,0.007,0.686,NA,NA,132,NA,2,1,3,302,NA,13,0.03,NA,NA,"2016-11"
"77","CATAWBA","CONOVER STATION","11/08/2016",6737,0.066,0.183,0.501,0.236,0.013,448,1235,3376,1589,89,6737,0.024,0.85,0.126,161,5725,851,6737,0.016,0.065,0.001,0.02,0.004,0.018,0.877,NA,107,436,6,134,24,124,5906,NA,255,0.038,NA,NA,"2016-11"
